Request_ID,Control_ID,Obligation,Filename,Owner,Due_Date,Required_Proof
DPA-003,DPA.3,Anti-Fraud and Bribery Risk Management Process,DPA-003_Risk_Assessment_and_Risk_Register_2026.pdf,Compliance Risk Lead,2026-05-13,"Annual anti-fraud and anti-bribery risk assessment, risk register, scoring methodology, and approved treatment plan."
DPA-005,DPA.5,Written Anti-Fraud and Anti-Bribery Policy,DPA-005_Anti_Fraud_Anti_Bribery_Policy_vCurrent.pdf,Chief Compliance Officer,2026-05-13,"Current signed policy, version history, approval record, and policy ownership assignment."
DPA-006,DPA.6,Policies Covering Personnel and Partners,DPA-006_Policy_Distribution_and_Acknowledgment_Log.xlsx,HR Compliance Manager,2026-05-13,"Distribution records and acknowledgments for employees and third parties, plus partner/agent policy adherence language."
DPA-010,DPA.10,Anti-Fraud Training for All Personnel and Partners,DPA-010_Training_Curriculum_and_Completion_Report.xlsx,Learning and Development Lead,2026-05-13,"Training curriculum, completion report by audience, overdue roster, and refresher schedule."
DPA-011,DPA.11,Compliance Guidance and Advice System,DPA-011_Compliance_Guidance_Channel_Log.xlsx,Compliance Operations Manager,2026-05-13,"Guidance process procedure, intake channel evidence, guidance request log, and response SLA tracking."
DPA-012,DPA.12,Confidential Reporting and Whistleblower Protection,DPA-012_Hotline_and_Non_Retaliation_Evidence.pdf,Ethics and Compliance Manager,2026-05-13,"Hotline/whistleblower policy, non-retaliation policy, reporting channel setup evidence, and anonymized reporting metrics."
DPA-013,DPA.13,Investigation and Documentation of Misconduct Allegations,DPA-013_Investigation_Procedure_and_Case_Documentation.pdf,Investigations Lead,2026-05-13,"Investigation SOP, redacted case files, escalation path, and closure approvals."
DPA-014,DPA.14,Compliance-Linked Compensation and Incentive Structures,DPA-014_Compensation_Compliance_Criteria_and_Records.pdf,HR Director,2026-05-13,"Compensation policy linking conduct/compliance to incentives, review criteria, and sample decision documentation."
DPA-015,DPA.15,Disciplinary Procedures for Compliance Violations,DPA-015_Disciplinary_Policy_and_Enforcement_Records.pdf,Employee Relations Manager,2026-05-13,"Disciplinary policy, sanction matrix, handbook references, and redacted violation-related disciplinary records."
DPA-016,DPA.16,Third-Party Due Diligence and Compliance Requirements,DPA-016_Third_Party_Due_Diligence_Package.xlsx,Third-Party Risk Manager,2026-05-13,"Due diligence SOP, onboarding checklist, risk tiering criteria, completed due diligence artifacts, and approvals."
DPA-018,DPA.18,Anti-Fraud Provisions in Third-Party Agreements,DPA-018_Contract_Clauses_and_Executed_Agreements.pdf,Procurement Counsel,2026-05-13,"Standard anti-fraud contract clauses/addenda, executed agreements including clauses, and exception approvals."
DPA-019,DPA.19,M&A Anti-Fraud Due Diligence Policy,DPA-019_MA_Due_Diligence_Policy_and_Workplan.pdf,Corporate Development Lead,2026-05-13,"M&A anti-fraud due diligence policy, transaction diligence checklist, and completed diligence evidence package."
DPA-020,DPA.20,Compliance Program Integration for Acquired Entities,DPA-020_Post_Acquisition_Compliance_Integration_Plan.xlsx,Integration Program Manager,2026-05-13,"Post-acquisition integration playbook, day-1/day-90 compliance onboarding tasks, and completion tracker."
DPA-023,DPA.23,Root Cause Analysis and Remediation of Misconduct,DPA-023_Root_Cause_Analysis_and_Remediation_Tracker.xlsx,Compliance Investigations Lead,2026-05-13,"Root cause analysis reports, remediation actions with owners and dates, and closure validation evidence."
